Candidate_ID,Mn,RA,Polymer_A,Polymer_B,Preparation_pH,MRAS_CFU,E_coli_CFU,MRSA_Biofilm,E_coli_Biofilm,ROS,M2,Arg1,IL-10,M1,iNOS,TNF-a,p16,p21,RUX-2,OCN
ODCM-001,0,0,OHA,CMC,7.4,2.906335042,2.656098202,2.23,1.67,0.972,4.21,0.95,21,36.0,0.98,2960,0.434,0.995,1.0,1.0
ODCM-002,0,0,OHA-DAB,CMC,7.4,1.77815125,2.352182518,1.21,0.98,0.658,11.4,1.89,33,33.4,0.68,1787,0.323,0.603,1.5,3.8
ODCM-003,1,0,OHA-DAB,CMC,7.4,1.041392685,1.342422681,0.56,0.39,0.293,17.29,4.46,142,25.2,0.48,747,0.255,0.437,2.4,5.8
ODCM-004,1,1,OHA-DAB,CMC,5.5,0.301029996,0.602059991,0.23,0.23,0.132,18.69,6.24,161,11.5,0.27,157,0.188,0.171,3.5,8.6
ODCM-006,0,0,OHA,CMC,7.4,2.876794976,2.716837723,2.16,1.73,0.999,4.31,1.04,25,36.3,1.02,2477,0.434,0.995,0.96,0.98
ODCM-007,0,0,OHA-DAB,CMC,7.4,1.763427994,2.474216264,1.24,1.05,0.562,11.79,2.1,39,33.9,0.72,1357,0.323,0.603,1.7,3.5
ODCM-008,1,0,OHA-DAB,CMC,7.4,0.954242509,1.431363764,0.49,0.48,0.374,17.69,4.82,113,25.8,0.51,523,0.255,0.437,2.6,6.5
ODCM-009,1,1,OHA-DAB,CMC,5.5,0.477121255,0.477121255,0.26,0.28,0.156,19.08,5.82,149,11.8,0.29,227,0.188,0.171,3.9,8.9
ODCM-010,0,0,OHA,CMC,7.4,2.948901761,2.651278014,2.08,1.69,0.984,4.27,1.01,23,36.3,1.0,2853,0.434,0.995,0.98,1.0
ODCM-011,0,0,OHA-DAB,CMC,7.4,1.812913357,2.387389826,1.22,1.13,0.61,11.58,2.06,35,33.77,0.7,1650,0.323,0.603,1.9,3.9
ODCM-012,1,0,OHA-DAB,CMC,7.4,1.079181246,1.278753601,0.53,0.43,0.291,17.5,4.75,136,25.8,0.5,630,0.255,0.437,2.9,7.1
ODCM-013,1,1,OHA-DAB,CMC,5.5,0.301029996,0.301029996,0.24,0.25,0.144,18.9,6.17,158,11.8,0.28,197,0.188,0.171,4.1,9.5
